2025-06-27 12:18:41,311 [INFO] Метрики: {'timestamp': '2025-06-27 12:18:40', 'cpu_percent': 20.5, 'memory_percent': 86.9, 'disk_percent': 77.7, 'net_sent': 45670679, 'net_recv': 648559373, 'load_avg_1min': 0.38, 'load_avg_5min': 0.19, 'load_avg_15min': 0.08}
2025-06-27 12:18:52,333 [INFO] Метрики: {'timestamp': '2025-06-27 12:18:51', 'cpu_percent': 17.7, 'memory_percent': 88.8, 'disk_percent': 77.7, 'net_sent': 45795168, 'net_recv': 648662083, 'load_avg_1min': 0.32, 'load_avg_5min': 0.19, 'load_avg_15min': 0.08}
2025-06-27 12:19:03,353 [INFO] Метрики: {'timestamp': '2025-06-27 12:19:02', 'cpu_percent': 9.2, 'memory_percent': 88.2, 'disk_percent': 77.7, 'net_sent': 45902354, 'net_recv': 648712543, 'load_avg_1min': 0.27, 'load_avg_5min': 0.18, 'load_avg_15min': 0.07}
2025-06-27 12:19:14,364 [INFO] Метрики: {'timestamp': '2025-06-27 12:19:13', 'cpu_percent': 10.9, 'memory_percent': 88.8, 'disk_percent': 77.7, 'net_sent': 46009414, 'net_recv': 648760162, 'load_avg_1min': 0.23, 'load_avg_5min': 0.18, 'load_avg_15min': 0.07}
2025-06-27 12:19:25,388 [INFO] Метрики: {'timestamp': '2025-06-27 12:19:24', 'cpu_percent': 6.8, 'memory_percent': 89.1, 'disk_percent': 77.7, 'net_sent': 46126615, 'net_recv': 648940714, 'load_avg_1min': 0.18, 'load_avg_5min': 0.17, 'load_avg_15min': 0.07}
2025-06-27 12:19:36,440 [INFO] Метрики: {'timestamp': '2025-06-27 12:19:35', 'cpu_percent': 30.5, 'memory_percent': 90.1, 'disk_percent': 77.7, 'net_sent': 46178447, 'net_recv': 649012617, 'load_avg_1min': 0.15, 'load_avg_5min': 0.16, 'load_avg_15min': 0.07}
2025-06-27 12:19:47,451 [INFO] Метрики: {'timestamp': '2025-06-27 12:19:46', 'cpu_percent': 3.0, 'memory_percent': 91.4, 'disk_percent': 77.7, 'net_sent': 46309071, 'net_recv': 649101269, 'load_avg_1min': 2.85, 'load_avg_5min': 0.72, 'load_avg_15min': 0.26}
2025-06-27 12:19:58,556 [INFO] Метрики: {'timestamp': '2025-06-27 12:19:57', 'cpu_percent': 66.5, 'memory_percent': 91.3, 'disk_percent': 77.7, 'net_sent': 46341507, 'net_recv': 649133295, 'load_avg_1min': 2.41, 'load_avg_5min': 0.69, 'load_avg_15min': 0.26}
2025-06-27 12:20:09,584 [INFO] Метрики: {'timestamp': '2025-06-27 12:20:08', 'cpu_percent': 24.6, 'memory_percent': 91.9, 'disk_percent': 77.7, 'net_sent': 46984056, 'net_recv': 649272245, 'load_avg_1min': 2.11, 'load_avg_5min': 0.69, 'load_avg_15min': 0.26}
2025-06-27 12:20:20,604 [INFO] Метрики: {'timestamp': '2025-06-27 12:20:19', 'cpu_percent': 23.1, 'memory_percent': 92.6, 'disk_percent': 77.7, 'net_sent': 47505462, 'net_recv': 665298247, 'load_avg_1min': 1.65, 'load_avg_5min': 0.65, 'load_avg_15min': 0.26}
2025-06-27 12:20:31,627 [INFO] Метрики: {'timestamp': '2025-06-27 12:20:30', 'cpu_percent': 6.8, 'memory_percent': 92.5, 'disk_percent': 77.8, 'net_sent': 47602151, 'net_recv': 665331147, 'load_avg_1min': 1.39, 'load_avg_5min': 0.63, 'load_avg_15min': 0.25}
2025-06-27 12:20:42,655 [INFO] Метрики: {'timestamp': '2025-06-27 12:20:41', 'cpu_percent': 14.7, 'memory_percent': 92.5, 'disk_percent': 77.8, 'net_sent': 47683994, 'net_recv': 665390951, 'load_avg_1min': 1.18, 'load_avg_5min': 0.61, 'load_avg_15min': 0.25}
2025-06-27 12:20:53,686 [INFO] Метрики: {'timestamp': '2025-06-27 12:20:52', 'cpu_percent': 6.6, 'memory_percent': 89.5, 'disk_percent': 77.8, 'net_sent': 47698456, 'net_recv': 665410313, 'load_avg_1min': 1.0, 'load_avg_5min': 0.59, 'load_avg_15min': 0.25}
2025-06-27 12:21:04,705 [INFO] Метрики: {'timestamp': '2025-06-27 12:21:03', 'cpu_percent': 9.5, 'memory_percent': 90.0, 'disk_percent': 77.8, 'net_sent': 47709208, 'net_recv': 665557190, 'load_avg_1min': 0.84, 'load_avg_5min': 0.57, 'load_avg_15min': 0.24}
2025-06-27 12:21:15,727 [INFO] Метрики: {'timestamp': '2025-06-27 12:21:14', 'cpu_percent': 16.5, 'memory_percent': 89.9, 'disk_percent': 77.8, 'net_sent': 47724126, 'net_recv': 665562799, 'load_avg_1min': 0.66, 'load_avg_5min': 0.55, 'load_avg_15min': 0.24}
2025-06-27 12:21:26,745 [INFO] Метрики: {'timestamp': '2025-06-27 12:21:25', 'cpu_percent': 10.4, 'memory_percent': 89.9, 'disk_percent': 77.8, 'net_sent': 47790765, 'net_recv': 665678652, 'load_avg_1min': 0.56, 'load_avg_5min': 0.53, 'load_avg_15min': 0.24}
2025-06-27 12:21:37,770 [INFO] Метрики: {'timestamp': '2025-06-27 12:21:36', 'cpu_percent': 32.4, 'memory_percent': 92.5, 'disk_percent': 77.8, 'net_sent': 47811072, 'net_recv': 665692289, 'load_avg_1min': 0.47, 'load_avg_5min': 0.51, 'load_avg_15min': 0.23}
2025-06-27 12:21:48,789 [INFO] Метрики: {'timestamp': '2025-06-27 12:21:47', 'cpu_percent': 16.1, 'memory_percent': 89.6, 'disk_percent': 77.8, 'net_sent': 47821787, 'net_recv': 665712187, 'load_avg_1min': 0.4, 'load_avg_5min': 0.49, 'load_avg_15min': 0.23}
2025-06-27 12:23:21,056 [INFO] Метрики: {'timestamp': '2025-06-27 12:23:20', 'cpu_percent': 7.4, 'memory_percent': 88.1, 'disk_percent': 77.8, 'net_sent': 47984936, 'net_recv': 665902313, 'load_avg_1min': 0.0, 'load_avg_5min': 0.0, 'load_avg_15min': 0.0}
2025-06-27 12:23:32,088 [INFO] Метрики: {'timestamp': '2025-06-27 12:23:31', 'cpu_percent': 84.4, 'memory_percent': 92.8, 'disk_percent': 77.8, 'net_sent': 48055625, 'net_recv': 665968540, 'load_avg_1min': 0.72, 'load_avg_5min': 0.15, 'load_avg_15min': 0.05}
2025-06-27 12:23:43,110 [INFO] Метрики: {'timestamp': '2025-06-27 12:23:42', 'cpu_percent': 19.6, 'memory_percent': 84.1, 'disk_percent': 77.8, 'net_sent': 48138445, 'net_recv': 666023158, 'load_avg_1min': 0.61, 'load_avg_5min': 0.14, 'load_avg_15min': 0.05}
2025-06-27 12:23:54,135 [INFO] Метрики: {'timestamp': '2025-06-27 12:23:53', 'cpu_percent': 25.1, 'memory_percent': 87.2, 'disk_percent': 77.8, 'net_sent': 48296684, 'net_recv': 666122664, 'load_avg_1min': 0.6, 'load_avg_5min': 0.16, 'load_avg_15min': 0.05}
2025-06-27 12:24:05,155 [INFO] Метрики: {'timestamp': '2025-06-27 12:24:04', 'cpu_percent': 9.7, 'memory_percent': 86.1, 'disk_percent': 77.8, 'net_sent': 48327447, 'net_recv': 666159502, 'load_avg_1min': 0.5, 'load_avg_5min': 0.15, 'load_avg_15min': 0.05}
2025-06-27 12:24:16,174 [INFO] Метрики: {'timestamp': '2025-06-27 12:24:15', 'cpu_percent': 14.5, 'memory_percent': 86.0, 'disk_percent': 77.8, 'net_sent': 48340679, 'net_recv': 666164843, 'load_avg_1min': 0.39, 'load_avg_5min': 0.14, 'load_avg_15min': 0.05}
2025-06-27 12:24:27,194 [INFO] Метрики: {'timestamp': '2025-06-27 12:24:26', 'cpu_percent': 27.5, 'memory_percent': 89.0, 'disk_percent': 77.8, 'net_sent': 48390170, 'net_recv': 666264798, 'load_avg_1min': 0.33, 'load_avg_5min': 0.14, 'load_avg_15min': 0.05}
2025-06-27 12:24:38,215 [INFO] Метрики: {'timestamp': '2025-06-27 12:24:37', 'cpu_percent': 11.6, 'memory_percent': 88.3, 'disk_percent': 77.8, 'net_sent': 48414319, 'net_recv': 666290664, 'load_avg_1min': 0.28, 'load_avg_5min': 0.13, 'load_avg_15min': 0.05}
2025-06-27 12:24:49,294 [INFO] Метрики: {'timestamp': '2025-06-27 12:24:48', 'cpu_percent': 16.8, 'memory_percent': 86.7, 'disk_percent': 77.8, 'net_sent': 48461644, 'net_recv': 666361644, 'load_avg_1min': 0.56, 'load_avg_5min': 0.2, 'load_avg_15min': 0.07}
2025-06-27 12:25:00,314 [INFO] Метрики: {'timestamp': '2025-06-27 12:24:59', 'cpu_percent': 20.6, 'memory_percent': 86.3, 'disk_percent': 77.8, 'net_sent': 48477705, 'net_recv': 666377914, 'load_avg_1min': 0.47, 'load_avg_5min': 0.19, 'load_avg_15min': 0.07}
2025-06-27 12:25:11,336 [INFO] Метрики: {'timestamp': '2025-06-27 12:25:10', 'cpu_percent': 5.1, 'memory_percent': 87.2, 'disk_percent': 77.8, 'net_sent': 48566423, 'net_recv': 666422613, 'load_avg_1min': 0.37, 'load_avg_5min': 0.18, 'load_avg_15min': 0.07}
2025-06-27 12:25:22,360 [INFO] Метрики: {'timestamp': '2025-06-27 12:25:21', 'cpu_percent': 24.9, 'memory_percent': 92.6, 'disk_percent': 77.8, 'net_sent': 48713427, 'net_recv': 666568598, 'load_avg_1min': 0.31, 'load_avg_5min': 0.17, 'load_avg_15min': 0.07}
2025-06-27 12:25:33,385 [INFO] Метрики: {'timestamp': '2025-06-27 12:25:32', 'cpu_percent': 28.2, 'memory_percent': 86.4, 'disk_percent': 77.8, 'net_sent': 48764710, 'net_recv': 666607912, 'load_avg_1min': 0.26, 'load_avg_5min': 0.17, 'load_avg_15min': 0.07}
